-2.5537			-38.9272			40.2246			-1.2000			119.0000			-154.0000			-49.0000			
11.3693			-40.0543			27.5001			-1.1000			122.0000			-137.0000			-81.0000			
18.0523			-43.4357			30.8195			5.4000			127.0000			-118.0000			-116.0000			
13.5969			-44.5628			33.5857			2.6000			125.0000			-97.0000			-149.0000			
17.4954			-44.5628			27.5001			0.4000			124.0000			-77.0000			-182.0000			
18.6092			-46.8171			29.7131			1.4000			122.0000			-62.0000			-208.0000			
19.1661			-46.2535			28.0533			0.9000			118.0000			-47.0000			-231.0000			
21.3938			-45.6899			24.7339			0.4000			111.0000			-31.0000			-248.0000			
23.6214			-43.9992			20.3080			0.0000			102.0000			-15.0000			-262.0000			
27.5199			-42.3085			15.3288			0.5000			94.0000			0.0000			-275.0000			
29.1906			-42.8721			13.6691			0.0000			85.0000			16.0000			-289.0000			
30.8614			-40.0543			9.2432			0.0000			77.0000			36.0000			-305.0000			
34.2029			-41.1814			7.5834			0.6000			71.0000			52.0000			-318.0000			
35.3167			-42.8721			8.6899			1.1000			62.0000			67.0000			-326.0000			
39.2151			-40.0543			3.1575			2.3000			54.0000			82.0000			-334.0000			
42.5566			-36.1093			-0.7152			5.7000			42.0000			110.0000			-350.0000			
